# id	name
1	comp1_c0_seq1
2	comp3_c0_seq1
3	comp4_c0_seq1
4	comp4_c1_seq1
5	comp5_c0_seq1
6	comp8_c0_seq1
7	comp10_c0_seq1
8	comp13_c0_seq1
9	comp14_c0_seq1
10	comp15_c0_seq1
11	comp19_c0_seq1
12	comp19_c1_seq1
13	comp20_c0_seq1
14	comp21_c0_seq1
15	comp27_c0_seq1
16	comp28_c0_seq1
17	comp28_c1_seq1
18	comp30_c0_seq1
19	comp30_c1_seq1
20	comp36_c0_seq1
21	comp36_c1_seq1
22	comp37_c0_seq1
23	comp38_c0_seq1
24	comp39_c0_seq1
25	comp40_c0_seq1
26	comp45_c0_seq1
27	comp46_c0_seq1
28	comp49_c0_seq1
29	comp52_c0_seq1
30	comp52_c1_seq1
31	comp53_c0_seq1
32	comp56_c0_seq1
33	comp57_c0_seq1
34	comp58_c0_seq1
35	comp58_c1_seq1
36	comp59_c0_seq1
37	comp60_c0_seq1
38	comp60_c1_seq1
39	comp63_c0_seq1
40	comp67_c1_seq1
41	comp68_c0_seq1
42	comp68_c1_seq1
43	comp69_c0_seq1
44	comp70_c0_seq1
45	comp71_c1_seq1
46	comp74_c0_seq1
47	comp76_c0_seq1
48	comp80_c0_seq1
49	comp81_c0_seq1
50	comp82_c0_seq1
51	comp84_c0_seq1
52	comp90_c0_seq1
53	comp90_c1_seq1
54	comp91_c0_seq1
55	comp91_c1_seq1
56	comp94_c0_seq1
57	comp95_c0_seq1
58	comp100_c0_seq1
59	comp101_c0_seq1
60	comp109_c0_seq1
61	comp109_c1_seq1
62	comp114_c0_seq1
63	comp114_c1_seq1
64	comp116_c0_seq1
65	comp117_c0_seq1
66	comp118_c0_seq1
67	comp119_c0_seq1
68	comp119_c1_seq1
69	comp121_c0_seq1
70	comp122_c0_seq1
71	comp122_c1_seq1
72	comp125_c0_seq1
73	comp125_c1_seq1
74	comp127_c0_seq1
75	comp128_c0_seq1
76	comp129_c0_seq1
77	comp130_c0_seq1
78	comp131_c0_seq1
79	comp134_c0_seq1
80	comp135_c0_seq1
81	comp136_c0_seq1
82	comp137_c0_seq1
83	comp138_c0_seq1
84	comp139_c0_seq1
85	comp141_c0_seq1
86	comp142_c0_seq1
87	comp143_c0_seq1
88	comp145_c0_seq1
89	comp147_c0_seq1
90	comp148_c0_seq1
91	comp149_c0_seq1
92	comp151_c0_seq1
93	comp153_c0_seq1
94	comp154_c0_seq1
95	comp156_c0_seq1
96	comp157_c0_seq1
97	comp160_c0_seq1
98	comp161_c0_seq1
99	comp161_c1_seq1
100	comp163_c0_seq1
101	comp163_c1_seq1
102	comp164_c0_seq1
103	comp170_c0_seq1
104	comp170_c1_seq1
105	comp173_c0_seq1
106	comp174_c0_seq1
107	comp180_c0_seq1
108	comp180_c0_seq2
109	comp182_c0_seq1
110	comp182_c1_seq1
111	comp183_c0_seq1
112	comp185_c0_seq1
113	comp185_c1_seq1
114	comp186_c0_seq1
115	comp188_c0_seq1
116	comp189_c0_seq1
117	comp190_c0_seq1
118	comp192_c0_seq1
119	comp193_c0_seq1
120	comp194_c0_seq1
121	comp195_c0_seq1
122	comp198_c0_seq1
123	comp198_c1_seq1
124	comp203_c0_seq1
125	comp204_c0_seq1
126	comp204_c1_seq1
127	comp206_c0_seq1
128	comp206_c1_seq1
129	comp207_c0_seq1
130	comp207_c1_seq1
131	comp209_c0_seq1
132	comp210_c0_seq1
133	comp211_c0_seq1
134	comp211_c1_seq1
135	comp212_c0_seq1
136	comp216_c0_seq1
137	comp217_c0_seq1
138	comp217_c0_seq2
139	comp218_c0_seq1
140	comp218_c1_seq1
141	comp219_c0_seq1
142	comp220_c0_seq1
143	comp220_c1_seq1
144	comp221_c0_seq1
145	comp222_c0_seq1
146	comp222_c1_seq1
147	comp223_c0_seq1
148	comp223_c1_seq1
149	comp224_c0_seq1
150	comp226_c0_seq1
151	comp229_c0_seq1
152	comp229_c1_seq1
153	comp233_c0_seq1
154	comp234_c0_seq1
155	comp236_c0_seq1
156	comp237_c0_seq1
157	comp237_c1_seq1
158	comp238_c0_seq1
159	comp240_c0_seq1
160	comp243_c0_seq1
161	comp245_c0_seq1
162	comp245_c1_seq1
163	comp246_c0_seq1
164	comp246_c1_seq1
165	comp249_c0_seq1
166	comp250_c0_seq1
167	comp250_c1_seq1
168	comp253_c0_seq1
169	comp254_c0_seq1
170	comp257_c0_seq1
171	comp259_c0_seq1
172	comp259_c1_seq1
173	comp260_c0_seq1
174	comp261_c0_seq1
175	comp263_c0_seq1
176	comp264_c0_seq1
177	comp265_c0_seq1
178	comp265_c1_seq1
179	comp266_c0_seq1
180	comp266_c1_seq1
181	comp267_c0_seq1
182	comp267_c1_seq1
183	comp268_c0_seq1
184	comp268_c0_seq2
185	comp269_c0_seq1
186	comp270_c0_seq1
187	comp273_c0_seq1
188	comp273_c1_seq1
189	comp275_c0_seq1
190	comp277_c0_seq1
191	comp278_c0_seq1
192	comp282_c0_seq1
193	comp283_c0_seq1
194	comp284_c0_seq1
195	comp286_c0_seq1
196	comp290_c0_seq1
197	comp293_c0_seq1
198	comp295_c0_seq1
199	comp295_c1_seq1
200	comp297_c0_seq1
201	comp298_c0_seq1
202	comp299_c0_seq1
203	comp300_c0_seq1
204	comp301_c0_seq1
205	comp303_c0_seq1
206	comp304_c0_seq1
207	comp305_c0_seq1
208	comp306_c0_seq1
209	comp310_c0_seq1
210	comp312_c0_seq1
211	comp313_c0_seq1
212	comp317_c0_seq1
213	comp319_c0_seq1
214	comp320_c0_seq1
215	comp322_c0_seq1
216	comp323_c0_seq1
217	comp323_c1_seq1
218	comp324_c0_seq1
219	comp328_c0_seq1
220	comp329_c0_seq1
221	comp331_c0_seq1
222	comp332_c0_seq1
223	comp335_c0_seq1
224	comp336_c0_seq1
225	comp336_c1_seq1
226	comp337_c0_seq1
227	comp337_c1_seq1
228	comp338_c0_seq1
229	comp340_c0_seq1
230	comp341_c0_seq1
231	comp343_c0_seq1
232	comp343_c1_seq1
233	comp344_c0_seq1
234	comp346_c0_seq1
235	comp346_c1_seq1
236	comp347_c0_seq1
237	comp347_c1_seq1
238	comp348_c0_seq1
239	comp349_c0_seq1
240	comp349_c1_seq1
241	comp350_c0_seq1
242	comp351_c0_seq1
243	comp353_c0_seq1
244	comp357_c0_seq1
245	comp358_c0_seq1
246	comp359_c0_seq1
247	comp359_c1_seq1
248	comp361_c0_seq1
249	comp363_c0_seq1
250	comp363_c1_seq1
251	comp364_c0_seq1
252	comp365_c0_seq1
253	comp368_c0_seq1
254	comp370_c0_seq1
255	comp371_c0_seq1
256	comp372_c0_seq1
257	comp372_c1_seq1
258	comp373_c0_seq1
259	comp375_c0_seq1
260	comp375_c1_seq1
261	comp378_c0_seq1
262	comp382_c0_seq1
263	comp382_c1_seq1
264	comp388_c0_seq1
265	comp391_c0_seq1
266	comp391_c1_seq1
267	comp395_c0_seq1
268	comp396_c0_seq1
269	comp399_c0_seq1
270	comp401_c0_seq1
271	comp402_c0_seq1
272	comp405_c0_seq1
273	comp407_c0_seq1
274	comp407_c1_seq1
275	comp417_c0_seq1
276	comp418_c0_seq1
277	comp418_c1_seq1
278	comp421_c0_seq1
279	comp424_c0_seq1
280	comp428_c0_seq1
281	comp429_c0_seq1
282	comp432_c0_seq1
283	comp435_c0_seq1
284	comp436_c0_seq1
285	comp439_c0_seq1
286	comp440_c0_seq1
287	comp441_c0_seq1
288	comp449_c0_seq1
